time,timestamp,recordtime,lat,long,alt,speed,course,verticalAccuracy,horizontalAccuracy,locTimeStamp,accelerationX,accelerationY,accelerationZ,HeadingX,HeadingY,HeadingZ,TrueHeading,MagneticHeading,HeadingAccuracy,RotationX,RotationY,RotationZ,motionYaw,motionRoll,motionPitch,motionRotationRateX,motionRotationRateY,motionRotationRateZ,motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ,DeviceOrientation,Event
2013-11-05 23:45:14.708,1,0.1,40.6895,-73.95139,13.88397,8.67,171.4341,12,10,1383713114,0.2021027,-0.05181885,-1.233353,18.33833,-45.56351,-16.57735,188.6053,201.6666,15,-0.0392763,0.5422217,-0.1607548,-0.04149062,0.1045244,0.3184647,-0.3340953,0.5533186,-0.2901002,0.01663467,0.2562546,0.006301543,5,0
2013-11-05 23:45:14.808,2,0.2,40.6895,-73.95139,13.88397,8.67,171.4341,12,10,1383713114,0.2288361,-0.343277,-1.080017,18.61773,-46.32922,-15.69675,188.8893,201.9506,15,0.02581242,0.3441726,-0.02730486,-0.04874376,0.1065529,0.3424002,-0.3361767,0.3663934,-0.1776044,-0.05542381,-0.1639917,0.08051498,5,0
2013-11-05 23:45:14.908,3,0.3,40.6895,-73.95139,13.88397,8.67,171.4341,12,10,1383713114,0.101059,-0.1951904,-0.8648987,18.23356,-47.06018,-14.51133,188.2381,201.2993,15,-0.7988977,0.4867883,-0.4017943,-0.05249099,0.1051189,0.3443611,-0.714588,0.1723914,-0.3398565,-0.0315657,0.191645,0.255462,5,0
2013-11-05 23:45:15.008,4,0.4,40.6895,-73.95139,13.88397,8.67,171.4341,12,10,1383713114,0.05718994,-0.190094,-0.6747131,18.26849,-46.32925,-14.88389,188.4762,201.5375,15,0.5365436,-0.6514614,0.2316159,-0.04907032,0.0917493,0.3584698,0.8429874,-0.8263079,0.3794086,0.1227604,0.2270471,-0.1922597,5,0
2013-11-05 23:45:15.109,5,0.5,40.6895,-73.95139,13.88397,8.67,171.4341,12,10,1383713114,0.3404083,-0.03697205,-1.430664,18.12878,-46.19,-14.34198,188.7758,201.837,15,1.582324,-0.6245291,0.5526342,-0.06936534,0.09238522,0.3205927,1.168971,-0.3850665,0.3819044,0.2619949,0.2234848,-0.541769,5,0
2013-11-05 23:45:15.208,6,0.6,40.6895,-73.95139,13.88397,8.67,171.4341,12,10,1383713114,0.06822205,0.01954651,-0.9866791,18.86218,-46.64243,-14.37587,190.8036,203.8649,15,-0.671605,0.5446596,-0.1823536,-0.06277645,0.0377201,0.340148,-0.977614,0.2968423,-0.2673139,-0.1020941,0.1332482,0.2643614,5,0
2013-11-05 23:45:15.308,7,0.7,40.6895,-73.95139,13.88397,8.67,171.4341,12,10,1383713114,0.08625793,-0.1704407,-0.769043,18.86218,-47.75629,-14.64681,190.0254,203.0866,15,-0.17686,-0.09053177,-0.1284261,-0.0592472,0.03838392,0.3715541,0.2045059,-0.3235163,0.02428689,0.1062118,0.205578,0.01590152,5,0
2013-11-05 23:45:15.408,8,0.8,40.6895,-73.95139,13.88397,8.67,171.4341,12,10,1383713114,0.1198425,-0.1725769,-1.314209,17.50015,-47.99994,-13.52913,188.8258,201.887,15,0.7281737,-0.2089316,0.1972444,-0.06629768,0.05166792,0.3603534,0.592869,-0.1480085,0.1927826,0.08445408,0.17867,-0.4064494,5,0
2013-11-05 23:45:15.509,9,0.9,40.68943,-73.95138,13.08902,8.18,171.4341,12,10,1383713115,0.1145477,-0.1512451,-1.205704,16.38257,-48.55685,-12.98724,187.7112,200.7724,15,0.4020505,-0.09329293,0.2215356,-0.06732441,0.04150004,0.3671045,0.1478141,-0.1460378,0.159396,0.05777278,0.1706972,-0.07532193,5,0
2013-11-05 23:45:15.608,10,1,40.68943,-73.95138,13.08902,8.18,171.4341,12,10,1383713115,0.1689758,-0.1743622,-0.9964294,16.97627,-48.45242,-13.15658,188.5216,201.5829,15,-0.3917875,0.453861,-0.1978747,-0.08113129,0.0473266,0.360839,-0.6090626,0.3475161,-0.3232907,0.05940593,0.1670547,0.07789442,5,0
2013-11-05 23:45:15.708,11,1.1,40.68943,-73.95138,13.08902,8.18,171.4341,12,10,1383713115,0.1221313,-0.1929779,-1.11937,19.17649,-49.11374,-14.47748,188.8398,201.901,15,0.01651186,0.06884325,-0.04005687,-0.08324387,0.06140036,0.3527647,-0.120737,0.008570488,-0.07388635,0.01388897,0.1392253,-0.1974568,5,0
2013-11-05 23:45:15.808,12,1.2,40.68943,-73.95138,13.08902,8.18,171.4341,12,10,1383713115,0.07009888,-0.0905304,-1.061096,18.93202,-48.66122,-15.79836,188.8837,201.9449,15,-0.03555906,0.2322375,0.01552197,-0.08359694,0.06381734,0.3192356,-0.1954316,0.1486567,-0.01072734,-0.06664015,0.1888256,-0.02686819,5,0
2013-11-05 23:45:15.908,13,1.3,40.68943,-73.95138,13.08902,8.18,171.4341,12,10,1383713115,0.0004425049,-0.1304474,-0.6790466,19.17648,-48.20871,-16.03545,189.2361,202.2973,15,-0.3330475,0.3550399,-0.1890408,-0.07719904,0.04752541,0.3091928,-0.3500078,0.1604131,-0.1557323,-0.03413104,0.165206,0.2858545,5,0
2013-11-05 23:45:16.008,14,1.4,40.68943,-73.95138,13.08902,8.18,171.4341,12,10,1383713115,0.005126953,-0.1310883,-0.7948608,18.12874,-45.84189,-15.08712,189.1586,202.2199,15,-0.2331534,0.2388805,-0.17531,-0.07599449,0.05109447,0.2988379,-0.03162623,0.04437433,-0.04948053,-0.03104746,0.1724463,0.09647614,5,0
2013-11-05 23:45:16.108,15,1.5,40.68943,-73.95138,13.08902,8.18,171.4341,12,10,1383713115,0.09777832,-0.2833557,-1.134521,17.22072,-46.46844,-13.12272,187.4723,200.5335,15,0.4492835,-0.1778542,0.1371243,-0.08445045,0.07270867,0.2907978,0.3874519,-0.2306781,0.1265879,0.0557868,0.01680394,-0.284567,5,0
2013-11-05 23:45:16.208,16,1.6,40.68943,-73.95138,13.08902,8.18,171.4341,12,10,1383713115,0.05723572,-0.1470947,-0.9267578,17.74458,-46.99054,-13.563,188.1829,201.2442,15,-0.6779223,0.3948064,-0.263895,-0.08531072,0.06646062,0.2909374,-0.7086707,0.2544394,-0.2481414,-0.02202532,0.1175388,0.2814678,5,0
2013-11-05 23:45:16.308,17,1.7,40.68943,-73.95138,13.08902,8.18,171.4341,12,10,1383713115,0.1108704,-0.05218506,-1.081696,18.58276,-46.92087,-14.4436,188.1576,201.2188,15,0.3993474,-0.272671,0.1574823,-0.08839794,0.08928192,0.2745828,0.3669814,-0.2993858,0.1865468,0.08469383,0.2208982,-0.309316,5,0
2013-11-05 23:45:16.409,18,1.8,40.68943,-73.95138,13.08902,8.18,171.4341,12,10,1383713115,0.1727448,-0.1017761,-1.079773,17.9192,-45.63303,-14.07104,188.3299,201.3912,15,-0.3098428,0.3392513,-0.1393382,-0.09016648,0.08349944,0.267616,-0.402742,0.2691648,-0.1584217,0.08390351,0.1311933,0.1118924,5,0
2013-11-05 23:45:16.508,19,1.9,40.68937,-73.95137,16.78375,6.48,171.4341,12,10,1383713116,0.1915436,-0.110321,-1.060257,18.09383,-45.25015,-15.59515,188.1661,201.2274,15,0.2066475,0.02202381,0.0390462,-0.09348121,0.09144393,0.2629092,0.2109357,-0.03958278,0.02458736,0.1042041,0.1343111,-0.2218835,5,0
2013-11-05 23:45:16.608,20,2,40.68937,-73.95137,16.78375,6.48,171.4341,12,10,1383713116,-0.05496216,-0.1660614,-0.7313995,19.63049,-46.57285,-15.8661,189.5409,202.6021,15,-0.3533392,0.2640322,-0.141441,-0.08684651,0.06892564,0.2636047,-0.3244104,0.06811452,-0.1070063,-0.0978031,0.08035615,0.2406914,5,0
2013-11-05 23:45:16.708,21,2.1,40.68937,-73.95137,16.78375,6.48,171.4341,12,10,1383713116,0.06427002,-0.1075439,-0.964798,20.25912,-45.8071,-14.85001,190.5342,203.5954,15,0.1145362,0.1429271,-0.003317233,-0.08894411,0.07181004,0.2314139,0.07869862,0.03329907,-0.01249263,-0.02065668,0.2046805,-0.004781893,5,0
2013-11-05 23:45:16.808,22,2.2,40.68937,-73.95137,16.78375,6.48,171.4341,12,10,1383713116,0.1109314,-0.3056641,-1.010025,20.04958,-46.64249,-14.44357,190.1785,203.2397,15,0.01095518,0.2657387,-0.1401291,-0.09147029,0.0686015,0.235886,0.02997232,0.08324737,-0.1368203,0.006653762,-0.04270846,-0.05120433,5,0
2013-11-05 23:45:16.908,23,2.3,40.68937,-73.95137,16.78375,6.48,171.4341,12,10,1383713116,0.1413116,-0.3450928,-0.7723694,20.43375,-46.32922,-14.00327,190.7677,203.829,15,-0.1797666,0.1143876,-0.1278381,-0.09655071,0.06524266,0.2600621,-0.07238805,-0.07307278,-0.1011733,0.0748133,-0.06382807,0.1443259,5,0
2013-11-05 23:45:17.008,24,2.4,40.68937,-73.95137,16.78375,6.48,171.4341,12,10,1383713116,-0.03004456,-0.2777863,-1.001404,20.64329,-46.74692,-13.39364,190.7882,203.8494,15,-0.1962278,0.2373486,-0.01132829,-0.09709229,0.0664253,0.2454517,-0.07045022,-0.03133834,0.0602949,-0.01191203,-0.0190599,-0.07349343,5,0
